id,milestone,title,owner_role,priority,dependency_gates,spec_sections,deliverable_acceptance,status,evidence,source_ids,acceptance_test_ids,source_urls,test_family_candidates
N090,M1,Implement graph accounting and sparse connection storage,Runtime,P0,M0,"17,21",Candidates memberships observers known scopes and pending transitions all enforce independent caps,Not started,Derived library implementation of selected Epic Replication Graph basis,"S61,S62",,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FGlobalActorReplicationInfo ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FConnectionReplicationActorInfo,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T102;T103;T104;T105;T106;T107;T108;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N016,M2,Integrate secure transport adapter,Runtime,P0,M1,18,Separate processes authenticate and exchange bounded datagrams/control messages,Not started,Proposed engineering task,"S33,S34,S35,S36",,https://github.com/ValveSoftware/GameNetworkingSockets ; https://github.com/quinn-rs/quinn ; https://www.rfc-editor.org/rfc/rfc9221.html ; https://www.rfc-editor.org/rfc/rfc9000.html,T094;T095;T096;T097;T098;T099;T100;T101
N017,M2,Implement secure readiness and initial graph scope,Runtime,P0,M1,"17,18,27",Server validates assets owner and observers; initial authorized scopes and required groups decode before activation,Not started,Proposed engineering task,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T094;T095;T096;T097;T098;T099;T100;T101;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N018,M2,Implement bounded frame and command codecs,Runtime,P0,M1,"7,18",Malformed lengths counts enums and nonfinite values are rejected before allocation,Not started,Proposed engineering task,,,,T009;T010;T011;T012;T013;T014;T015;T016;T017;T018;T019;T020;T021;T022;T094;T095;T096;T097;T098;T099;T100;T101
N019,M2,Implement hardware input journal,Engine,P0,M1,7,Press/release and mouse deltas survive 30/240 FPS mismatch without duplication,Not started,Proposed engineering task,S19,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/command-stream.html,T009;T010;T011;T012;T013;T014;T015;T016;T017;T018;T019;T020;T021;T022
N020,M2,Implement command bundling and redundancy,Runtime,P0,M1,7,Bundles decode independently and duplicates do not repeat actions,Not started,Proposed engineering task,S19,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/command-stream.html,T009;T010;T011;T012;T013;T014;T015;T016;T017;T018;T019;T020;T021;T022
N021,M2,Implement immutable target-tick admission,Runtime,P0,M1,7,Late future conflicting-owner and equivocated commands follow explicit verdicts,Not started,Proposed engineering task,,,,T009;T010;T011;T012;T013;T014;T015;T016;T017;T018;T019;T020;T021;T022
N022,M2,Implement missing-input substitutes,Gameplay,P0,M1,"7,8",One-shot edges never repeat; held intent expires after configured grace,Not started,Proposed engineering task,,,,T009;T010;T011;T012;T013;T014;T015;T016;T017;T018;T019;T020;T021;T022
N023,M2,Implement finalized input receipts,Runtime,P0,M1,7,Highest-received sequence cannot retire unexecuted inputs,Not started,Proposed engineering task,,,,T009;T010;T011;T012;T013;T014;T015;T016;T017;T018;T019;T020;T021;T022
N024,M2,Implement monotonic clock estimator,Runtime,P0,M1,6,Offset estimation remains bounded under jitter and clock drift,Not started,Proposed engineering task,S18,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/time-synchronization.html,T001;T002;T003;T004;T005;T006;T007;T008
N025,M2,Implement arrival-slack lead controller,Runtime,P0,M1,6,Asymmetric paths converge toward target slack without retargeting sent commands,Not started,Proposed engineering task,S18,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/time-synchronization.html,T001;T002;T003;T004;T005;T006;T007;T008
N026,M2,Implement paced fixed-tick server loop,Runtime,P0,M1,8,Packets cannot advance extra simulation time; catch-up debt is bounded,Not started,Proposed engineering task,,,,
N041,M2,Implement core lifecycle and scope-safe tombstones,Runtime,P0,M1,"9,15,17",World death is distinct from connection scope exit; old generations and old scope messages cannot resurrect state,Not started,Proposed engineering task,,,,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040;T058;T059;T060;T061;T062;T063;T064;T065;T066;T067;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N054,M2,Implement reliable/idempotent core outcome delivery,Runtime,P0,M1,"7,13,15,27",Core action receipts and safe identity channels exist in M2; later combat uses the same bounded outcome protocol,Not started,Proposed engineering task,,,,T009;T010;T011;T012;T013;T014;T015;T016;T017;T018;T019;T020;T021;T022;T041;T042;T043;T044;T045;T046;T047;T048;T058;T059;T060;T061;T062;T063;T064;T065;T066;T067;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150
N057,M2,Implement scoped decoded-entry baseline ACKs,Runtime,P0,M1,"16,17,27",No delta before exact scope-entry decode ACK; M2 may use full-state/reset-only mode before M6 delta tuning,Not started,Proposed engineering task,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N059,M2,Implement bounded atomic scope/group entry chunks,Runtime,P0,M1,"12,16,17,27",Chunks validate group and member scope identities; unknown or incomplete entry never publishes; bounded transfer progress,Not started,Proposed engineering task,,,,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040;T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N061,M2,Implement graph-first bounded replication scheduler,Runtime,P0,M1,"4,16,17",Authorized scopes and complete required units precede due/priority/budget; bounded critical reserve and infeasible-load behavior,Not started,Proposed engineering task,"S57,S62,S48",,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DynamicSpa- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FConnectionReplicationActorInfo ; https://gafferongames.com/post/state_synchronization/,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N062,M2,Implement core per-connection dormancy and repair,Runtime,P0,M1,"17,27",Dirty versions remain pending independently per connection until decode; dropped wake and initial dormant entry recover without global polling,Not started,Proposed engineering task,"S55,S56,S58",T146;T147;T148;T149;T150,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DormancyNo- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_Connection- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/actor-network-dormancy-in-unreal-engine,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N065,M2,Implement transport-aware pacing/backpressure,Runtime,P0,M1,"17,18",Transport budget constrains entries lifecycle critical groups and optional state; queues and entry transfers have finite progress/degradation policy,Not started,Proposed engineering task,S35,,https://www.rfc-editor.org/rfc/rfc9221.html,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T094;T095;T096;T097;T098;T099;T100;T101;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N091,M2,Implement server-approved observer grants,Runtime,P0,M1,"17,18,27",Pawn/camera/spectator observers are validated and capped; arbitrary client subscriptions are rejected,Not started,Derived library implementation of selected Epic Replication Graph basis,S54,,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_AlwaysRele-_1?lang=en-US,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T094;T095;T096;T097;T098;T099;T100;T101;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N092,M2,Implement scope epochs full entry and exact ready receipts,Runtime,P0,M1,"3,16,17,27",Entry stages full state under new scope identity; old ACK and delta cannot activate re-entry,Not started,Derived library implementation of selected Epic Replication Graph basis,,T136;T137;T138;T139;T140;T141;T142;T143;T144;T145,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N093,M2,Implement scope exit retries and supersession fences,Runtime,P0,M1,"15,17,27",Lost exits repair; newer entry survives stale exit; exit-before-entry is fenced; authoritative death remains distinct,Not started,Derived library implementation of selected Epic Replication Graph basis,,T136;T137;T138;T139;T140;T141;T142;T143;T144;T145,,T058;T059;T060;T061;T062;T063;T064;T065;T066;T067;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N094,M2,Implement representation changes and revocation fencing,Runtime,P0,M1,"16,17,18,27",Unsent prohibited payloads canceled; narrower state uses new scope/full baseline; no private encoder-cache reuse,Not started,Derived library implementation of selected Epic Replication Graph basis,,T136;T137;T138;T139;T140;T141;T142;T143;T144;T145,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T094;T095;T096;T097;T098;T099;T100;T101;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N095,M2,Implement mutation versions flush and independent dormancy ACKs,Runtime,P0,M1,"17,27",Flush-before-mutation path; two connections can have different pending versions; late join receives full dormant state,Not started,Derived library implementation of selected Epic Replication Graph basis,"S55,S56,S58",,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DormancyNo- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_Connection- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/actor-network-dormancy-in-unreal-engine,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N027,M3,Implement tick-indexed prediction history,Runtime,P0,M2,9,State commands dependencies and lifecycle metadata survive configured horizon,Not started,Proposed engineering task,,,,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040
N028,M3,Implement complete scoped owner checkpoints,Runtime,P0,M2,"9,12,17",Owner group and dependency scope identities are complete and authorized before client prediction admission,Not started,Proposed engineering task,S17,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-details.html,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040;T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N029,M3,Implement restore-and-replay reconciliation,Gameplay,P0,M2,9,Replay begins at K+1; newer useful correction supersedes stale work,Not started,Proposed engineering task,"S02,S38",,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/client/prediction.cpp ; https://raw.githubusercontent.com/id-Software/Quake-III-Arena/master/code/cgame/cg_predict.c,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040
N030,M3,Implement dependency-aware invalidation,Gameplay,P0,M2,"9,12",Equal position with changed velocity or dependency revision still corrects,Not started,Proposed engineering task,,,,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040
N031,M3,Implement visual-only local correction,Engine,P0,M2,10,Physics corrects immediately; camera/body smoothing never feeds simulation,Not started,Proposed engineering task,S21,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-smoothing.html,T041;T042;T043;T044;T045;T046;T047;T048
N032,M3,Implement remote snapshot interpolation,Engine,P0,M2,10,Out-of-order packets never reverse presentation; discontinuities do not blend,Not started,Proposed engineering task,S46,,https://gafferongames.com/post/snapshot_interpolation/,T041;T042;T043;T044;T045;T046;T047;T048
N033,M3,Implement underrun and extrapolation policies,Engine,P0,M2,10,Extrapolation cap produces explicit degraded behavior rather than unlimited drift,Not started,Proposed engineering task,,,,T041;T042;T043;T044;T045;T046;T047;T048
N034,M3,Implement replay budget and resync,Runtime,P0,M2,"6,9",Missing history or excess replay work requests a complete bounded recovery,Not started,Proposed engineering task,,,,T001;T002;T003;T004;T005;T006;T007;T008;T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040
N035,M3,Build spatially separated real-client arena launcher,Engine,P0,M2,"17,23",Two rendered separate-process clients receive different eligible sets; no broadcast-all path; both pass loss and re-entry cases,Not started,Proposed engineering task,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N036,M3,Build network/timeline overlay,QA,P0,M2,20,Tick age slack loss queue bytes replay cost and correction cause visible,Not started,Proposed engineering task,,,,T102;T103;T104;T105;T106;T107;T108
