id,feature,side,library_requirement,tier,spec_sections,evidence_note,reference_ids,source_urls
F042,Fairness configuration,Server,Rewind cover shield teleport and simultaneous rules,Required,14,"Proposed library requirement; references establish related mechanism families, not universal game parity","S40,S42",https://www.riotgames.com/en/news/peeking-valorants-netcode ; https://www.ea.com/games/apex-legends/news/servers-netcode-developer-deep-dive
F043,Sub-tick actions,Both,Bounded intra-tick timing with conserved movement budget,Advanced,14,"Proposed library requirement; references establish related mechanism families, not universal game parity",S06,https://www.counter-strike.net/cs2
F044,Projectile authority,Both,Predicted flight with authoritative swept impacts,Required,15,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F045,Projectile catch-up,Server,Bounded historical interval sweeps,Advanced,15,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F046,Melee and beams,Server,Authoritative active intervals and damage cadence,Gameplay-dependent,14,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F047,Snapshot compression,Both,Explicit quantizers sparse deltas and canonical fields,Required,16,"Proposed library requirement; references establish related mechanism families, not universal game parity","S39,S47",https://raw.githubusercontent.com/id-Software/Quake-III-Arena/master/code/qcommon/msg.c ; https://gafferongames.com/post/snapshot_compression/
F048,Baseline acknowledgements,Both,Decoded and retained state not packet receipt,Required,16,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F049,Baseline retirement,Both,Negotiated finite baseline lifetime,Required,16,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F050,Atomic chunks,Both,Bounded full-group reassembly without IP fragmentation,Required,"12,16","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F051,First-class Fortnite-style Replication Graph,Server,Persistent shared spatial/global/connection nodes; prepare once and gather before scheduling in M1–M3,Required,"4,17","Proposed library requirement; references establish related mechanism families, not universal game parity","S09,S51,S52",https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine ; https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode?lang=en-US ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_GridSpatia-
F052,Replication priority,Server,Eligible scoped units before due/priority/bandwidth; required-group protection and feasible-load aging,Required,17,"Proposed library requirement; references establish related mechanism families, not universal game parity","S57,S62,S48",https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DynamicSpa- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FConnectionReplicationActorInfo ; https://gafferongames.com/post/state_synchronization/
F053,Dormancy and repair,Both,Versioned wake/flush and per-connection decoded completion; dormant re-entry full state; no global periodic broadcast,Required,"17,27","Proposed library requirement; references establish related mechanism families, not universal game parity","S55,S56,S58",https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DormancyNo- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_Connection- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/actor-network-dormancy-in-unreal-engine
F054,Visibility filtering,Server,Hard observer/field/event disclosure denial overrides spatial global semantic and prediction reasons,Required,"4,17,18","Proposed library requirement; references establish related mechanism families, not universal game parity","S09,S41",https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine ; https://www.riotgames.com/en/news/demolishing-wallhacks-valorants-fog-war
F055,Secure transport,Both,Maintained authentication/encryption/congestion stack,Required,18,"Proposed library requirement; references establish related mechanism families, not universal game parity","S33,S34,S35,S36",https://github.com/ValveSoftware/GameNetworkingSockets ; https://github.com/quinn-rs/quinn ; https://www.rfc-editor.org/rfc/rfc9221.html ; https://www.rfc-editor.org/rfc/rfc9000.html
F056,Datagram/control lanes,Both,Freshness state versus reliable bounded control,Required,18,"Proposed library requirement; references establish related mechanism families, not universal game parity",S35,https://www.rfc-editor.org/rfc/rfc9221.html
F057,MTU and backpressure,Both,Transport-aware payload size and finite queues,Required,18,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F058,Browser path,Both,Explicit platform transport semantics,Platform-dependent,18,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F059,Fuzzing and anti-abuse,Server,Bounded decode and expensive-action work,Required,"18,22","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F060,Timeline diagnostics,Both,Ticks slack ages loss queues and corrections,Required,20,"Proposed library requirement; references establish related mechanism families, not universal game parity",S42,https://www.ea.com/games/apex-legends/news/servers-netcode-developer-deep-dive
F061,Divergence inspector,Both,First differing tick field and dependency,Required,20,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F062,Shot inspector,Server,Origin history policy and verdict trace,Required,20,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F063,Deterministic replay,Both,Inputs plus external authoritative causes and hashes,Required,20,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F064,Network emulator,Both,Asymmetry bursts reordering loss bandwidth and stalls,Required,"20,22","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F065,Fleet health,Server,Deadline debt match correlation and admission shedding,Required,"8,20","Proposed library requirement; references establish related mechanism families, not universal game parity",S42,https://www.ea.com/games/apex-legends/news/servers-netcode-developer-deep-dive
F066,Engine adapters,Both,Single authority writer and explicit state ownership,Required for selected engine,19,"Proposed library requirement; references establish related mechanism families, not universal game parity","S08,S22,S27",https://dev.epicgames.com/documentation/en-us/unreal-engine/understanding-networked-movement-in-the-character-movement-component-for-unreal-engine ; https://mp-docs.dl.it.unity3d.com/netcode/2.2.0/advanced-topics/client-anticipation/ ; https://github.com/cBournhonesque/lightyear
F067,Large-world revisions,Both,Streaming and floating-origin history compatibility,Advanced,17,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F068,Compatibility and versioning,Both,Build schema ruleset map negotiation,Required,"18,24","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F069,License governance,Team,Immutable pins and restricted-code exclusion,Required,"2,24","Proposed library requirement; references establish related mechanism families, not universal game parity","S01,S15,S25,S26,S37,S44",https://github.com/ValveSoftware/source-sdk-2013 ; https://dev.epicgames.com/documentation/en-us/unreal-engine/downloading-source-code-in-unreal-engine ; https://raw.githubusercontent.com/Unity-Technologies/EntityComponentSystemSamples/master/LICENSE.md ; https://raw.githubusercontent.com/Unity-Technologies/CharacterControllerSamples/master/LICENSE.md ; https://github.com/id-Software/Quake-III-Arena ; https://github.com/FirstGearGames/FishNet/blob/main/LICENSE.md
F070,Performance qualification,Team,Declared hardware measured percentiles and soak,Required,"21,22","Proposed library requirement; references establish related mechanism families, not universal game parity","S40,S42",https://www.riotgames.com/en/news/peeking-valorants-netcode ; https://www.ea.com/games/apex-legends/news/servers-netcode-developer-deep-dive
F071,Epic provenance and backend boundary,Team,Public Replication Graph is selected basis; derived contracts labeled; Iris and Unity are comparisons,Required,"2,4,17,24","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior","S09,S60",https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine ; https://dev.epicgames.com/documentation/unreal-engine/migrate-to-iris-in-unreal-engine
F072,Persistent graph lifecycle,Server,Committed route changes prepare shared nodes once then gather immutable views,Required,"4,8,17","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S51,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode?lang=en-US
F073,Static dynamic and dormancy-driven spatial routes,Server,Core includes working GridSpatialization2D-style node and route-change API,Required,"4,17","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S52,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_GridSpatia-
F074,Global actor list,Server,Small bounded always-relevant list still subject to field permission,Required,17,"Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S53,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_AlwaysRele-
F075,Per-connection actor list,Server,Owner/view-target list plus explicit application semantic grants,Required,17,"Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S54,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_AlwaysRele-_1?lang=en-US
F076,Spatial influence coverage,Server,Extent/cull/hysteresis-prefetch coverage and negative-coordinate correctness,Required,17,"Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S52,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_GridSpatia-
F077,Authoritative observer grants,Server,Bounded pawn/camera/spectator viewpoints; arbitrary client location denied,Required,"17,18","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S54,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_AlwaysRele-_1?lang=en-US
F078,Sparse connection metadata,Server,Separate shared actor data from per-connection known scope/ACK state,Required,"17,21","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior","S61,S62",https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FGlobalActorReplicationInfo ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FConnectionReplicationActorInfo
F079,Eligibility versus scheduling,Server,Gather and authorize before bandwidth selection; priority is not visibility,Required,"4,16,17","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S57,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DynamicSpa-
F080,Authorized prediction closure,Both,Dependencies override distance but not secrecy; admission is complete or explicitly denied,Required,"9,12,17","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S61,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FGlobalActorReplicationInfo
F081,Dependency history retention,Both,Keep replay samples separately from visible current scope under explicit budget,Required,"9,12,17","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F082,Scope epoch identity,Both,Distinct connection-local replica incarnation prevents stale re-entry traffic,Required,"3,15,17,27","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F083,Full scoped entry and ready ACK,Both,New incarnation/representation starts with complete decoded baseline before deltas,Required,"16,17,27","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F084,Scope exit recovery,Both,Idempotent exit/retry/supersession; exit is not authoritative death,Required,"15,17,27","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F085,Per-connection dormancy completion,Both,Decoded authoritative versions independent per peer; late join receives full dormant state,Required,"17,27","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior","S55,S56,S58",https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DormancyNo- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_Connection- ; https://dev.epicgames.com/documentation/en-us/unreal-engine/actor-network-dormancy-in-unreal-engine
F086,Mutation and flush contract,Server,Publish dirty version before replica dormancy can suppress mutation,Required,17,"Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S58,https://dev.epicgames.com/documentation/en-us/unreal-engine/actor-network-dormancy-in-unreal-engine
F087,Scoped events and attachment privacy,Both,Independent approved audiences; persistent effects reconstruct without historical RPC,Required,"13,15,17","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S41,https://www.riotgames.com/en/news/demolishing-wallhacks-valorants-fog-war
F088,Representation revocation fencing,Server,Cancel unsent forbidden fields; new scope/full authorized representation after policy change,Required,"16,17,18","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F089,Bounded graph resource accounting,Server,Cell memberships observers candidate lists and pending scope records are all capped,Required,"17,21","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F090,Per-connection spatial inspector,Team,Explain candidates eligibility reasons field grants scopes and scheduling safely,Required,"17,20","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F091,Spatial correctness oracle,Team,Independent exact oracle validates incremental routing and query coverage,Required,"17,22","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F092,Spatial vertical-slice gate,Team,Selective real-client delivery and scoped prediction pass before M3 exit,Required,"17,22,23","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",,
F093,Sparse and dense scale qualification,Team,100 connections 50000 potential actors; report relevant candidate and transmitted populations separately,Required,"17,21,22","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S09,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine
F094,Distance-frequency scheduling,Server,Optional due-time optimization follows eligibility and cannot omit required state,Optimization,"16,17","Derived library requirement; cited Epic mechanism is architectural basis, not proof of identical Fortnite behavior",S57,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_DynamicSpa-
